,Reviews,#GENERAL,#FEATURE,#PRICE,#CAMERA,#DESIGN#SCREEN
224,"iphones are better than any other phone especially Samsung, the end",True,False,False,False,False
225,Apple always slow to get the technology and is always late.,False,True,False,False,False
226,My iPhone X battery is not work good as other phones while running 4g net I think upgrade for long battery life,False,True,False,False,False
227,I love this phone,True,False,False,False,False
228,"Everything which is expensive, definitely has nuisance value, do be it!",True,False,False,False,False
229,"We somehow defend iPhone X only by good, better, best having no lingual expression of overall performance, but lip service.",True,False,False,False,False
230,"I know the phone are not just specs in a paper. But they are performances an measures inside that are reflected in those ""papers"". So stop saying stupid things and get over it,",False,True,False,False,False
231,"I am very disappointed with apple this year, I bought an iphone x 256 gb on the 16th of this month and the Face ID cannot register my face or any other face and the selfie portrait mode is also not working. I contacted apple support team but they canÂ’ Fix it even though they run a diagnostic on my phone. The apple told me that nothing is wrong with the hardware.",True,True,False,False,False
232,What a phone!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! hoping to have this one day.,True,False,False,False,False
233,So much for iPhone X being the King of Speed.,False,True,False,False,False
234,"I used it, great phone but needs more features! Not worth the money imho!",True,True,True,False,False
235,Just take a look at the back of the iPad mini and them look at the iPhone x front . Design will be clearly understandable .x is very beautiful but it's not worth the price .,False,False,True,False,True
236,Best phone so far! Been using it since it first cane out here in new zealand! And dont get me wrong i have been iphone user since iphone4 started. So yes its iphone all the way,True,False,False,False,False
237,"I have become a fan from iPhone 6S Plus onwards and on 14th got the iPhone X. In one word, its an experience. The mother of all phones, really. Its insanely fast and smooth. Multitasking and flips over tasks or apps very good. ",True,False,False,False,False
238,"Battery is absolutely insane, so far.",False,True,False,False,False
239,battery is good,False,True,False,False,False
240,best camera,False,False,False,True,False
241,screen is the best,False,True,False,False,False
242,speaker is so good,False,True,False,False,False
243,face id works so good,False,True,False,False,False
244,the notch sometimes makes me feel bad,False,False,False,False,True
245,"Greetings from very happy iPhone X user, not single time i thought the price after i got one, best phone by far i ever had, this phone screams perfection.",True,False,True,False,False
246,Apple is just an overpriced tech with no real Upgrades,True,False,True,False,False
247,Phone is good but not worth at this price,True,False,True,False,False
248,iPhone is just an overpriced no Innovation phone.,False,True,False,False,False
249,For the same price as Iphone X and fast charging block. plus wireless charging doc and wireless headphones.,False,True,False,False,False
250,"i just love iphone x. I think, it is the best phone in this modern world",True,False,False,False,False
251,To costly! D:,False,False,True,False,False
252,"Wow such an amazing phone, Apple is such a great company, they are making great devices,",True,False,False,False,False
253,Very very expensive.....,False,False,True,False,False
254,"Too expensive for that money, you must have very unhappy person to buy this phone to compensate your happiness. It may be good, but for wannabe-s.",False,False,True,False,False
255,The Apple phones are getting worse and dearer oh my android phones have all this and much more as I've realised recently,True,False,False,False,False
256,Same Staff Every Year. Apple Is Boring,True,False,False,False,False
257,Poor Battery,False,True,False,False,False
258,Too Expensive,False,False,True,False,False
259,Apple you disappointed US!!!!,True,False,False,False,False
260,Finally 4g Ram,False,True,False,False,False
261,The important differences between XS and X is number of sim card. Lol,False,True,False,False,False
262,"why apple iphone battery so poor......... samsung galaxy s8, s9 series better at its price point, quality",False,True,False,False,False
263,why so costly.....nothing special in iphones,True,False,True,False,False
264,"iphone price is acceptable, but iphone very shameful and also no special feature.......and heavy bulky weight",True,False,True,False,False
265,"Yes, as the flagship phone, iphone speaker is not that good",False,True,False,False,False
266,"It is a great camera. So what do you want? New cameras just fo teh sake of ""new""?",False,False,False,True,False
267,"Thousands employees working full year and using multi-million dollars to come conclusions, no design changes. Money wasting company.",False,False,False,False,True
268,"Front camera used 7 mp f2.2?Come on Apple, atleast using 12 mp f1.5 to 1.8!!!",False,False,False,True,False
269,$1000... has a shitty 4gb of ram,False,True,True,False,False
270,battery size too low how.,False,True,False,False,False
271,"There's only 2 things I like most about Iphone.. 1st is the IOS.. I have no doubt about it.. 2nd is the Video.. the image stabilizer.. Other than that,just the same",False,True,False,True,False
272,APPLE IPHONE IS JUST TOOOOOO COSTY...,False,False,True,False,False
273,"Beauty of iphone is it's os..iOS. ios is optimized heavily for it's hardware. When an App goes to background, ios compresses app (say it occupies 300MB in foreground) by so much and it can compress even to 10MB, if it is required",False,True,False,False,False
274,Iphone is way overpriced compared to huawei/nokia/others...,False,False,True,False,False
275,You are right. Apple is beast. I have tried android phones (flagship ones) but iphones still so so strong in everything.,True,False,False,False,False
276,very poor battery backup,False,True,False,False,False
277,very small battery in contrast with its display . it needs twice battery charge in a day in normal use.,False,True,False,False,True
278,apple is good in everything except battery endurance,True,True,False,False,False
279,"what is iphone???
MONEY SUCKER",False,False,True,False,False
280,"Same ugly phone, higher price...",False,False,True,False,True
281,"Screen is great, very bright and sharp. Video playback is near perfect. Body size is just right. ",False,False,False,False,True
282,"The phone comes a very cohesive package in terms of hardware and software, design and function. Not perfect but no phone is.",False,True,False,False,False
283,"Overall, the XS won't disappoint but it's not cheap.",True,False,True,False,False
284,Haven't tested out the camera much but a couple shots turned out nice.,False,False,False,True,False
285,i don't know why They always give poor battery capacity which don't go more than 90+ endurance.,False,True,False,False,False
286,Sorry iPhone your notch is just annoying. Can you just make your phone without a notch?,False,False,False,False,True
287,"The iPhone XS has a markedly improved dual camera, delivering better photos ",False,False,False,True,False
288,Best Phone i have ever used,False,False,False,True,False
289,IPhone xs very very very...... Poor battery.,False,True,False,False,False
290,"The beauty of iPhone's battery life. Its steady, its reliable, no matter what you load on it. No matter the condition. Connect to Carplay Wireless, add a Apple Watch, and you still have almost the same battery life you take out of the box.",False,True,False,False,False
291,I am here to say why iPhones still superior to any Androids phones and worth its cost.,True,False,True,False,False
292,It is a very crisp looking screen display.,False,False,False,False,True
293,I am on the 12.1 IOS update on 10/30/2018. So far I am delighted with my phone. Lots of settings and easy to navigate. The display is sharp and true in color.,False,True,False,False,False
294,I wish it had Dolby Atmos for music and other multimedia. The audio on the supplied ear pods is excellent. The speakerphone and ringers (and alerts) are louder than my previous phones.,False,True,False,False,False
295,I would recommend the Xs to my friends,True,False,False,False,False
296,"arguably the best phone on the market, but god that price....",True,False,True,False,False
297,"It Is An iPhooone,With A Nice Camerrra!!!.",False,False,False,True,False
298,This phone has best camera in this price segment,False,False,False,True,False
299,"Battery backup is very disappointing for this display size ,with moderate use i have to charge it in the evening",False,True,False,False,False
300,"The camera is the best in the market, there is no denying. Everybody on YouTube can tell you the truth. SmartHDR truly is a breakthrough in smartphone photography.",False,False,False,True,False
301,this are better cameras according to popular opinion,False,False,False,True,False
302,"Camera is very good, compared to 6S. I did not have any chance to compare this against any other phones except my old LG G4 and HTC One M7.",False,False,False,True,False
303,Looks premium and beautiful.,False,False,False,False,True
304,Screen is Brilliant. (With True Tone On and with True Tone Off),False,False,False,False,True
305,"Battery as per my usage - Photos, Whatsapp, Viber, Phone Call, Youtube and some other stuff last for 1.5 to 2.5 days depending on the day to day usage. But I am very happy with it.",False,True,False,False,False
306,"Notch - may be it is obtrusive for some, but it is not obstructing me. Got used to it.",False,False,False,False,True
307,very pricey,False,False,True,False,False
308,"phone nowadays is getting slow when it comes to innovations. Globally speaking, top smartphones are samsung and huawei. It shows to the market that iphone is not the usual iphone anymore.",False,False,False,False,False
309,same price as motorcycle...pffttttt..,False,False,True,False,False
