Reviews;#GENERAL;#FEATURE;#PRICE;#CAMERA;#DESIGN#SCREEN
I'm not iPhone user or a fan.. iOS is very smooth and doesn't need much ram like android. It is well optimized. But apple could give more but they want to cut the cost everywhere and charge the most to take it the profit in large margin;;positive;negative;;
Realy back side camera to much ugly;;;;;negative
"one word for now, ""ugly""";;;;;negative
The not so essential phone. Horrible design. Nothing works in the looks department. From the proportions to the way the edges and screen blend into each other to the odd camera protrusion.;;;;;negative
no fingerprint waste of money;;negative;;;
I don't usually like iPhones, but this X changed my mind. At least only for this X. Thumbs up;positive;;;;
No finger print scanner, they claim that the new facial recognition is the the best option to go with;;negative;;;
no finger print scanner;;negative;;;
hmm it's look like a super expensive android to me with a bunch of gimmicks noting new ooh there is facial recognition to it but sadly it failed at presentation and it supports wireless charging hmm also fast charging i think it should have it coz we all know.;;negative;;;
One of the best of best phone it will be every thing that we whant now;positive;;;;
Super sharp oled display;;;;;positive
bezels less desgin;;;;;positive
higher price 64GB $999;;;;;positive
cameras are excellent;;;;positive;
wirless charging;;positive;;;
4K at 60fps;;positive;;;
Honestly.... I have never ever really liked Apple do to the fact their phones always look the same. ( in my opinion ), But I have to admit, this phone is pretty nice!!!! And looks stunning;;positive;;;positive
The new animoji feature is totally sick!!!! Just being able to custom adjust your emogi with your facial expressions is absolutely amazing!;;positive;;;
And last but not least: I am so happy Apple finally went wireless!;;positive;;;
Finally The Beast Revealed with well developed specs in Apple;;positive;;;
good front design and an odd looking back camera;;;;;positive
I love this X phone;positive;;;;
Pretty disappointed. Nothing amazing;negative;;;;
More innovation please. This phone does not set no future for phones. It is the same product as before. Nothing brilliantly amazing.;;negative;;;
Too expensive for the specs, you can find other phones at much cheaper price with higher specs. 3gb ram seriously? flagship device at only 3gb ram..still bad battery ..subpar design. Only goodthing I can say would probably the iOs software looks and performs better.;;negative;negative;;
That's what i don't like in new iphone as well. I think it is a mistake done by apple designers;;;;;negative
Everything looks pretty exciting but I hate to say that top portion the screen & fat black edges around the screen looks really ugly;positive;;;;negative
Ugly design!;;;;;negative
5,8 inch screen ?? is it a joke ? motorolla did 6 inch screen 3 years ago. the top of the screen is cut why ?;;;;;negative
still no dual sim :(;;negative;;;
The resolution screen is ridiculous.;;;;;negative
Without fingerprint scanner...... Worst iphone ever;;negative;;;
this is a great phone ever;positive;;;;
Best phone!!! No doubt. Perhaps will break all previous selling records. Well done Apple.;positive;;;;
finally, best phone for all iphones(using amoled etc)!!!... iphone x has the same feature as s8..;positive;positive;;;
Amazing acheivement Apple;positive;;;;
But its true iphone is best all the way;positive;;;;
IOS is best all the way;;positive;;;
Best smartphone currently iphone X;positive;;;;
The phone looks great, design is cool but why no fingerprint sensor ?? I didn't trust Face ID Recognition because in presentation the Iphone X Face ID didn't worked and the presenter use PIN Code to unlock the phone;;negative;;;positive
I really don't like that camera module design and that camera ugly bump and I didn't know how much battery will last.;;negative;;;negative
Great innovation on face recognition but screen looks weird while playing videos. Moreover, looks like overpriced.;positive;;negative;;negative
The ugly and annoying pop out back camera lens.;;;;;negative
The bad display cut at the top.;;;;;negative
The black strip around the display.;;;;;negative
Ugly Front design;;;;;negative
Ugly Camera;;;;;negative
I am impressed by iPhone X. But price is too damn high. Still I am looking forward to buy one.;positive;;negative;;
Brilliant device this time Apple did it again. Let´s see how it behaves on the reviews;positive;;;;
I'm skeptical about the future-proofing of this phone;negative;;;;
Disappointed, Nothing new in this phones;negative;;;;
This looks decent though, Just not enough to get me to switch;;;;;positive
Not even in octa core. What do we expect from this;;negative;;;
Ugly design, the iPhone 8 is better, this one is fat and weird.;;;;;negative
Nothing special about this phone, as always a lot of noise and blaba. Just the name you have to pay for.;negative;;;;
i think its a great new take on the design but i think it would have been better with at least the option of having the matte black or jet black colour;;;;;positive
I love the design of that thing. Its perfect size, flat screen and rounded stainless steel sides should make for a great in hands feeling and probably user experience. Would be buying one instantly if it was priced competively.;;;;;positive
An over priced junk has arrived again The iphone X . the touch id should have be there . for this price . 1150 bucks .;;;negative;;
Ugly screen compare 2 samsung edge series screen;;;;;negative
no finger id. face id some low light condetion not work perfectly. bad move apple;;negative;;;
iPhone X's gesture controls is the single most underrated feature nobody is talking about except for Michael Fisher aka Mr. Mobile. It's webOS reincarnated. Swipe up to close apps and carousel to the next ones will feel awesome!;;positive;;;
This is INNOVATION! Super AMOLED & Wireless charging! OMG Best PHONE EVER!! I love you apple thank you so much for these breathtaking novelty. I admire such innovative company. God bless you apple. Peace;;positive;;;positive
one thing that i realize in iphone is nothing but price;;;negative;;
Love the new iPhone X;positive;;;;
I love the classic iPhone design. More bling-bling under certain lighting conditions. The Apple logo on the back also looks much nicer with the white glass rear. You can barely recognize it on the darker one.;;;;;positive
Very disappointed..;negative;;;;
Great specs!;;positive;;;
I would really love to own one soon.. :-);positive;;;;
processor is an important in mobile phones. especially for internet and game. iPhone processor is very fast and good performance.;;positive;;;
It's so girly... but nice design :);;;;;positive
Huge side bezels;;;;;negative
Too High and costly for its cost over features. Iphone X is not worth that amount, its just costly for the hype of the brand apple iphone thats all.;;;negative;;
The iphone x is gorgeuos;;;;;positive
So... they finally caught up in some 2014 android features and added a bigger screen. Innovation!;;positive;;;
no fingerprint..... hahahahaha;;negative;;;
Its all perfect but the most disgusting part is at the top where the front cams are. Its really annoying especially when it comes to me because i have an OCD (symmetrical) i prefer the infinity display. And I think iPhone X is fragile and definitely i'm gonna freak out if I accidentally drop it. It's Costly right?;;;;;negative
It will fail because they don't have a fingerprint scanner and face unlock is inefficient and garbage.;;negative;;;
Maybe They aren't big innovators anymore But They still make great phones !;positive;;;;
This is the first Apple phone that caught my interest. Now I'll be saving some money for this phone :);positive;;;;
Only Face id just absurd.;;negative;;;
iPhone X is the best phone in the whole universe.;positive;;;;
it might not that ugly when u see it in front of you..as ppl who saw it in front of them, many of them say it is beautiful;;;;;positive
iPhone x very impressive in design and specifications. But tooo much expensive. the 256Gb one will cost more than C$1700 including tax in Canada. However i felt like there should've been a 128Gb instead of 64Gb.;;positive;negative;;positive
can't wait for this. omg going to be a long 2 months for me.;positive;;;;
ridiculously over priced!!!;;;negative;;
i like ios, and apple products, but this one is gross, its ok to pay a big price if its feature pack, but paying a big price just for a bezelless design? its gross, sorry apple, im not a sheep yet, waiting for next year again for some worthy phone to throw a $$$;;negative;negative;;
Most advanced and best smartphone ever made. This is the phone of the future. Others are looking like they came out of the stone age compared to this. Face recognition is the first ever and can never be duplicated. Super Retina Display is also the most advanced screen tech ever made. Wireless charging is also the first on a smartphone.;positive;positive;;;positive
In my country Apple products are really overpriced so this phone will be super Xpensive;;;negative;;
This phone looks interesting, its specs look very attractive, but it's not a device for small pockets and was never intended to be. I see there it's some kind of fashion to remove the middle button and extend the display. All right and fine, until we look at the display design, it looks like some kind of ass with those top display margins that show the status bar in the middle with the mic and camera.Again, it's expensive for what it brings.I say this especially by the display design and, of course, the 3.5 inch jack, that was never brought back.;;positive;;negative;negative
Awesome as ever.;positive;;;;
The phone is good. But the pricing is worst...;positive;;negative;;
No Finger print sensor. No headphone jack. Eeewww.;;negative;;;
Well, I think that this phone its really expensive;;;negative;;
Its not best smartphone;negative;;;;
this is worth to buy for me. i have the money to buy every apple product. its not hard to spend my money to buy apple products.;;;positive;;
Im still sceptical about the bezel. Hands on video shown that it is thicker than it seem. Or maybe it just the lighting. Does this really count as bezel less? The chassis is kinda fat too. Hmm. Hope they can improve the design next year. Just a little bit more. Seriously. Just a little tiny bit more improvement it can be perfect.;;;;;negative
I think face id is not a good idea for me. Because some people are very busy not aware of using or trying to look at with your phone while working or doing;;negative;;;
The best thing I like about this phone is the A11 Bionic Chipset. This is going to be miles ahead of all the other chipsets in the market. Really Apple, has kept itself ahead in the race by making sure that they own every technology that goes into making their phone. ;;positive;;;
My Dream Iphone!;positive;;;;
My only concern about the phone is that it looks ugly. In fact, all Apple's big phones aren't that good looking, but maybe the background of this phone makes it worse...;;;;;negative
Ridiculously overpriced and nothing new. except for the new built in apps which android users have been using since years. just a modified version of talking tom. $999, way tooo much for such a phone;;;negative;;
Why apple always late. Same old stuff with huge anouncement.;;negative;;;
Surely I will be going to buy this one. Price doesn't matter as easily available 12 months interest free installments here in Dubai on major credit cards.;positive;;;;
This just looks super ugly.;;;;;negative
why is everyone not happy with this phone? I love it!;positive;;;;
Sure, this phone isn't anything hugely special, but it's still a huge step in the right direction for Apple, which has been stagnant for years now.;positive;;;;
The processor is a gamble. On paper, it looks to be a huge leap on existing tech. But you're correct that it's had limited testing, can't wait to see the heat generation.;;positive;;;
A lot of people live the design. Personally, on the internet I think it looks nice enough, though if place it behind both the galaxy phones and the mi mix. In real life I might like it more, I didn't like how tall and thin the s8 was. Plenty of people will consider this the most beautiful phone - especially those with Samsung hate.;;;;;positive
Overall, I think the phone is nothing exciting, but it does compete with the best phones out there. Apples planned augmented reality future seems a bad choice to me, buy here's hoping they do something good with it. Hard to imagine anything not gimmicky, the tech has been around for ages without being useful. Hololens seems the way to go get;positive;negative;;;
Man design is ugly. Phone looks like someone bite top of the screen like is apple on back. To me it seems a worm slowly eating apple and soon or later this company will be sold or bancrupt. Its just asking too much,;;;;;negative
They had a retina display which is good;;;;;positive
cant wait to buy it;positive;;;;
The Iphone X will be a complete waste of money;negative;;;;
Nice;positive;;;;
Well I am an Apple lover . so many mouths and so many opinions . For me there is no one on earth who can challenge apple security system. APPLE is the best . Apple X is the best so far. waiting and dying to buy one for me.;positive;;;;
Thanks Apple;positive;;;;
wonderfull;positive;;;;
8 plus has best cam in the market, this sounds very good for iPhone X!;;;;positive;
The best smartphone camera we’ve ever tested;;;;positive;
Easily the ugliest phone ever made.;;;;;positive
Regarding the screen, i believe it is the first of its kind in which the screen reaches all 4 corners evenly (even though it has a cutout up top) That is innovation in itself.;;;;;positive
top of the screen is totally ugly;;;;;negative
cool!;positive;;;;
I've actually done research on the back camera sensor size on the iPhone 10... and believe it is going to be a 1/2 inch camera sensor size... which is bigger than Samsung camera sensors and will put it ahead of Samsung cameras;;;;;
These phones are so expensive....you can hardly eat when you finish purchase it.;;;negative;;
Undoubtedly iPhone X is a revolution in Apple history.It has to be added that Apple had no alternatives but joining a group of hi ends with new norms and criteria in smartdevice history;positive;;;;
what i concern is not its camera, i know the camera is good overall;;;;positive;
With Super AMOLED display, I think the battery life could last little longer compared to LCD displays. And with powerful A11 chip, multitasking could be more smoother.;;positive;;;positive
The A11 chip is super fast, even par with latest MacBook pro performance. this phone will be fresh for next 5 years (I derived this from my iPhone 5S bought 4 years back but still working great specifically super fast with latest iOS 11);;positive;;;
Iphone x is awful phone;negative;;;;
battery capacity..uhrmm..no thanks. im not just heavy user, im HARDCORE user.;;negative;;;
A great phone for whom who can afford it. I really don`t recommend just because of the price tag.;positive;;negative;;
iPhone X is a superb piece of tech. Love the product. Bought mine from ajio website. had some cool offers on products;positive;;;;
Screen is amazing. Face detection works almost flawlessly for me. Battery is a non issue. Works all day. Love the new gestures. No home button is perfect. Sound from the Lightning Earbuds is the best from Apple by FAR!!! Anything negative is more than likely bashing IMHO.;;positive;;;positive
Its contains lots of awesome features especially Face ID... It’s just too cool.. I used to face finger print detection problem while driving car.... typing password while driving is just too risky.. which now don’t bother me anymore;;positive;;;
My only complaint is the price, Samsung and iPhone are amazing phones. one is good for this, the other one is good for that. stop the hate. but I do have to say that Apple is marking the price way to high.;;;negative;;
love this phone. Swipe up Home gesture is awesome.;;positive;;;
Very nice phone from Apple;positive;;;;
Apple Created the best display I ever seen in mobile phones .;;;;;positive
Best screen i ever seen in any device. It's so perfect that it doesn't even feel like a screen. It looks so natural and real.;;;;;positive
Battery life not great, as expected from iPhone,;;negative;;;
it has a better Camera from another phone in this world now.;;;;positive;
Battery is not as good;;negative;;;
best phone I've ever used. swipe up for home button and face id works flawless even in the dark. phone is a must buy for iphone users.;positive;;;;
Hi Guys, Just to let you'll know that i have bought the iPhone X and its just amazing;positive;;;;
FaceID works like a charm. I dont miss the home button much. I kind of like the notch as it divides the battery from the others notification to the left.;;positive;;;
I have the X and I'm not impressed.;negative;;;;
In January, my iPhone X is going on eBay for sale. It's boring, the phone is several years behind its competitors technology. It's a phone for young people who don't know what the competition has. Yawn.;negative;;;;
Really fast and fluid phone, which is to be expected at this price range, but still, the notch is in some people's opinion ugly. But people can always find something wrong with any product.;positive;;positive;;negative
Battery life with this is very good;;positive;;;
it does have that notch,.it's not ideal.;;;;;negative
Yeah,.there is no doubt the IPhone X is not the best IPhone to as regards to its capabilities ;positive;;;;
Great phone and Face Id works well....!!;positive;positive;;;
Apple x not as well as we thought. Home button is the breath of apple apple 8 is good but older design is not acceptable. Basically apple 8 should have apple x design. Then it would be surely popular at every where. iOS 11 firmware should be improve with give option for direct call in third party dialer. It's very annoying ask confirmation call. Sometimes it's not good. Hope apple will update it sure.;;;;;
Camera is almost real professional!!!;;;;positive;
Faceid is fast and the screen... omg the screen!!!!! Perfect!;;;;;positive
Best smartphone i ever had.;positive;;;;
nice phone;positive;;;;
"I like apple but what preventing me from spending so much money for this phone is the ""battery"". What would you do with a nice phone that would just last for half a day. I'm a heavy user";;negative;;;
Apple always put a iPhone with almost same features as all smartphone have but overpriced its phone ....we can also get Ai . Face recognition in other phones in about 15000 then why waste on iPhone;;;negative;;
Iphone X, failed design, overpriced, not so bezel-less, so sorry Apple, this time is the Era of Android phones.;;;;negative;negative
"it's way too pricely for the ""old technology"" in it";;negative;negative;;
the amoled is gorgeous, the camera is great, you dont even notice the notch (and it is small) so stop complaining people, apple have made a really nice gorgeous phone.;;;;positive;positive
i bought my iPhone X on 4th of November and after using it for nearly 6 days, i came to this conclusion that this iPhone is not worth device by Apple;negative;;;;
feeling bad to say the notch make it even worse than original iPhone.;;;;;negative
Glad to hear in new feature of iPhone X specially in benchmark. ;;positive;;;
I admit I was a bit worried about losing Touch ID but amazingly FaceID seems to work at least as well as TouchID;;positive;;;
Speed is well ... wow ... just like the iPad Pro 10.5. Cameras ... amazing for such a small device;;positive;;positive;
I think the problem of iphone is the battery life if they can make it like 3600 Mah or 4000 it will be great;;negative;;;
The notch itself is stylish and looks cool. Apple tried to make something completely bezel-less;;;;;positive
this is the first phone ever made that i must say-its perfect! Best phone of all times! Only next Iphone x can or could be better-no one else!;positive;;;;
my new iPhone x just arrived,, smooth ,, fast and lovely,, no lag what so ever,, can use it with one hand;positive;;;;
Hardware is unbelievable. Now if only they can improve iOS 11, it would truly be the greatest device ever.;;positive;;;
I've had it since Saturday and I have to say, this is the perfect smartphone on every single level.;positive;;;;
Everything seems perfect with the iPhone X except the notch at top of the screen. If Apple can remove the notch, i will score them 100%.;positive;;;;negative
I just received mine today! I love it NO regrets....no wonder why T3 magazine rated this the premium of premium of phones!;positive;;;;
Best Display. Fastest Processor. Fastest storage. Best update support. Best customer service. Best phone in the world.;positive;positive;;;positive
The iPhone X is superior in many ways do a deep comparison;positive;;;;
The A11 is a six-core, remember that adding dual-core to iPhone is not like adding dual-core laptops and requires a very accurate processor design. The dual-core processor features Performance and high-performance quad-core processors to greatly increase the speed and performance of this mobile device. Conclusion This powerful processor, high performance, and the ability of this smartphone to use various applications.;;positive;;;
It's a stunning device in so many ways.;positive;;;;
using Face ID, it feels like future in your hand. And shows how far these smartphones have gone.;;positive;;;
When you hold iPhone X in your hand with that beautiful almost edge to edge screen;;;;;positive
Man I agree its expensive,It has the best design ;;;negative;;positive
Getting those issues is around same than winning lottery. Haven't had Any issues and the performance is perfect and with 120hz touch input this thing is supersmooth.;;positive;;;
I lost my hope with apple every year i am waiting for something new , but the phone doesn't change same thing with old features andriod has ahead months and years before.;;negative;;;
Iphone x is just a piece of junk;negative;;;;
iphones are better than any other phone especially Samsung, the end;positive;;;;
Apple always slow to get the technology and is always late.;;negative;;;
My iPhone X battery is not work good as other phones while running 4g net I think upgrade for long battery life;;negative;;;
I love this phone;positive;;;;
Everything which is expensive, definitely has nuisance value, do be it!;positive;;;;
We somehow defend iPhone X only by good, better, best having no lingual expression of overall performance, but lip service.;positive;;;;
"I know the phone are not just specs in a paper. But they are performances an measures inside that are reflected in those ""papers"". So stop saying stupid things and get over it,";;positive;;;
I am very disappointed with apple this year, I bought an iphone x 256 gb on the 16th of this month and the Face ID cannot register my face or any other face and the selfie portrait mode is also not working. I contacted apple support team but they canÂ’ Fix it even though they run a diagnostic on my phone. The apple told me that nothing is wrong with the hardware.;negative;negative;;;
What a phone!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! hoping to have this one day.;positive;;;;
So much for iPhone X being the King of Speed.;;positive;;;
I used it, great phone but needs more features! Not worth the money imho!;positive;negative;negative;;
Just take a look at the back of the iPad mini and them look at the iPhone x front . Design will be clearly understandable .x is very beautiful but it's not worth the price .;;;negative;;positive
Best phone so far! Been using it since it first cane out here in new zealand! And dont get me wrong i have been iphone user since iphone4 started. So yes its iphone all the way;positive;;;;
I have become a fan from iPhone 6S Plus onwards and on 14th got the iPhone X. In one word, its an experience. The mother of all phones, really. Its insanely fast and smooth. Multitasking and flips over tasks or apps very good. ;positive;;;;
Battery is absolutely insane, so far.;;positive;;;
battery is good;;positive;;;
best camera;;;;positive;
screen is the best;;positive;;;
speaker is so good;;positive;;;
face id works so good;;positive;;;
the notch sometimes makes me feel bad;;;;;negative
Greetings from very happy iPhone X user, not single time i thought the price after i got one, best phone by far i ever had, this phone screams perfection.;positive;;positive;;
Apple is just an overpriced tech with no real Upgrades;negative;;negative;;
Phone is good but not worth at this price;positive;;negative;;
iPhone is just an overpriced no Innovation phone.;;negative;;;
For the same price as Iphone X and fast charging block. plus wireless charging doc and wireless headphones.;;positive;;;
i just love iphone x. I think, it is the best phone in this modern world;positive;;;;
To costly! D:;;;negative;;
Wow such an amazing phone, Apple is such a great company, they are making great devices,;positive;;;;
Very very expensive.....;;;negative;;
Too expensive for that money, you must have very unhappy person to buy this phone to compensate your happiness. It may be good, but for wannabe-s.;;;negative;;
The Apple phones are getting worse and dearer oh my android phones have all this and much more as I've realised recently;negative;;;;
Same Staff Every Year. Apple Is Boring;negative;;;;
Poor Battery;;negative;;;
Too Expensive;;;negative;;
Apple you disappointed US!!!!;negative;;;;
Finally 4g Ram;;positive;;;
The important differences between XS and X is number of sim card. Lol;;positive;;;
why apple iphone battery so poor......... samsung galaxy s8, s9 series better at its price point, quality;;negative;;;
why so costly.....nothing special in iphones;negative;;negative;;
iphone price is acceptable, but iphone very shameful and also no special feature.......and heavy bulky weight;negative;;positive;;
Yes, as the flagship phone, iphone speaker is not that good;;negative;;;
"It is a great camera. So what do you want? New cameras just fo teh sake of ""new""?";;;;positive;
Thousands employees working full year and using multi-million dollars to come conclusions, no design changes. Money wasting company.;;;;;negative
Front camera used 7 mp f2.2?Come on Apple, atleast using 12 mp f1.5 to 1.8!!!;;;;negative;
$1000... has a shitty 4gb of ram;;negative;negative;;
battery size too low how.;;negative;;;
There's only 2 things I like most about Iphone.. 1st is the IOS.. I have no doubt about it.. 2nd is the Video.. the image stabilizer.. Other than that,just the same;;positive;;positive;
APPLE IPHONE IS JUST TOOOOOO COSTY...;;;negative;;
Beauty of iphone is it's os..iOS. ios is optimized heavily for it's hardware. When an App goes to background, ios compresses app (say it occupies 300MB in foreground) by so much and it can compress even to 10MB, if it is required;;positive;;;
Iphone is way overpriced compared to huawei/nokia/others...;;;negative;;
You are right. Apple is beast. I have tried android phones (flagship ones) but iphones still so so strong in everything.;positive;;;;
very poor battery backup;;negative;;;
very small battery in contrast with its display . it needs twice battery charge in a day in normal use.;;negative;;;positive
apple is good in everything except battery endurance;positive;negative;;;
"what is iphone???
MONEY SUCKER";;;negative;;
Same ugly phone, higher price...;;;negative;;negative
Screen is great, very bright and sharp. Video playback is near perfect. Body size is just right. ;;;;;positive
The phone comes a very cohesive package in terms of hardware and software, design and function. Not perfect but no phone is.;;positive;;;
Overall, the XS won't disappoint but it's not cheap.;positive;;negative;;
Haven't tested out the camera much but a couple shots turned out nice.;;;;positive;
i don't know why They always give poor battery capacity which don't go more than 90+ endurance.;;negative;;;
Sorry iPhone your notch is just annoying. Can you just make your phone without a notch?;;;;;negative
The iPhone XS has a markedly improved dual camera, delivering better photos ;;;;positive;
Best Phone i have ever used;;;;positive;
IPhone xs very very very...... Poor battery.;;negative;;;
The beauty of iPhone's battery life. Its steady, its reliable, no matter what you load on it. No matter the condition. Connect to Carplay Wireless, add a Apple Watch, and you still have almost the same battery life you take out of the box.;;positive;;;
I am here to say why iPhones still superior to any Androids phones and worth its cost.;positive;;positive;;
It is a very crisp looking screen display.;;;;;positive
I am on the 12.1 IOS update on 10/30/2018. So far I am delighted with my phone. Lots of settings and easy to navigate. The display is sharp and true in color.;;positive;;;
I wish it had Dolby Atmos for music and other multimedia. The audio on the supplied ear pods is excellent. The speakerphone and ringers (and alerts) are louder than my previous phones.;;positive;;;
I would recommend the Xs to my friends;positive;;;;
arguably the best phone on the market, but god that price....;positive;;negative;;
It Is An iPhooone,With A Nice Camerrra!!!.;;;;positive;
This phone has best camera in this price segment;;;;positive;
Battery backup is very disappointing for this display size ,with moderate use i have to charge it in the evening;;negative;;;
The camera is the best in the market, there is no denying. Everybody on YouTube can tell you the truth. SmartHDR truly is a breakthrough in smartphone photography.;;;;positive;
this are better cameras according to popular opinion;;;;positive;
Camera is very good, compared to 6S. I did not have any chance to compare this against any other phones except my old LG G4 and HTC One M7.;;;;positive;
Looks premium and beautiful.;;;;;positive
Screen is Brilliant. (With True Tone On and with True Tone Off);;;;;positive
Battery as per my usage - Photos, Whatsapp, Viber, Phone Call, Youtube and some other stuff last for 1.5 to 2.5 days depending on the day to day usage. But I am very happy with it.;;positive;;;
Notch - may be it is obtrusive for some, but it is not obstructing me. Got used to it.;;;;;positive
very pricey;;;negative;;
phone nowadays is getting slow when it comes to innovations. Globally speaking, top smartphones are samsung and huawei. It shows to the market that iphone is not the usual iphone anymore.;;;;;
same price as motorcycle...pffttttt..;;;negative;;
nice phone but I just cant come to spend $1625AUD on this phone...;positive;;negative;;
IPhone XS is the best phone in the world. Use the phone first then we'll talk or you can go to istore & play around the phone;positive;;;;
If you have the money get it, best phone on the market, don't believe...me get it play with it then come back and comment.;positive;;;;
Perfect for grip and superb performance and looks apple did an amazing job again;;positive;;;
its battery life is terribly dissapointing.;;negative;;;
iPhone Xs is complete crap.;negative;;;;
This is the first iPhone ive ever bought, performance is great and UI is nice and fluid.;;positive;;;
This phone is just not worth the price;;;negative;;
The Battery is better than the previous model I have used for a year (iPhone 7 ) I only charge it while I am sleeping using the wireless charger.;;positive;;;
The phone is really fast comparing with other old models.;positive;;;;
The camera is fantastic and the beauty mode in selfie is not weird as I found on Samsung or Huawei.;;;;positive;
The camera is very disappointing in the dark. The pictures turn out very blurry. It also seems a strange filter is placed on all my photos.;;;;negative;
Awesome camera and functionalities. Cheers to Apple for their amazing innovation;;positive;;positive;
This is the best ever phone I've had so far.;positive;;;;
right now iOS does not have a system wide dark theme. but it is rumored that apple will implement dark theme in next release of ios 13 this year.;;positive;;;
The best phone on the world!;positive;;;;
iPhones are only good for their design that's it;;;;;positive
Apple is ahead of every Android smartphone with a two years ahead unbeatable chipset ( A12 bionic) better and faster updates, better software optimizations and better quality with stereo speakers, amazing display and high quality materials ;;positive;;;positive
"what this ""bezelless"" bulshet all the time, look at that thick bezels around the display and 83% display ratio";;;;;negative
This evaluation aims to examine how the iPhone XS is believed to be the best iPhone so far. ;positive;;;;
The iPhone XS is the worst of the new iPhones;negative;;;;
Oh my!!!!, im really shocked.. what happen to apple designer? Did you see all 2019 smartphones?. Really really ugly 2017 design. What a horrible notch;;;;;negative
Worst design by apple;;;;;negative
This seems to be the ugliest Apple product for decades.;;;;;negative
Designers could have spent some more time for back camera pattern or design;;;;;negative
very old and outdated design;;;;;negative
apple has set the notch trend back in 2017 but it looks like the 2019 notch design a bit outdated;;;;;negative
It has a 720 p display with a powerful processor;;positive;;;positive
I thought the screen resolution would improve to full HD. Still a ripped off with that high price;;;negative;;negative
this phone is a joke LCD screen no fullhd resolution 4GB ram;;negative;;;negative
Seriously, I can't see any feature that will trick or make people to buy or upgrade to this.;;negative;;;
the camera looks ugly;;;;;negative
Better CPU, more RAM, more battery and another camera;;positive;;positive;
No fhd screen,no audio Jack, very small battery, terrible wake up Apple.;;negative;;;
Low resolution display, huge cutout, mediocre camera, no telephoto camera, no 802.11ax WiFi, no 3,5 mm jack, no USB type C port, no NFC etc etc;;negative;;negative;negative
iPhones can still hold their price;;;positive;;
so no 5G? will prefer to stay on older device...;;negative;;;
No fingerprint;;negative;;;
bad display (LCD), low resolution;;;;;negative
no 3,5mm jack and ancient USB 2.0.;;negative;;;
What they should've done was use a bigger battery. This phone is massive yet they decided to put a miniscule battery in it;;negative;;;
The resolution is fine.;;;;;positive
you know the specs are trash. Apple is brand quality and brand quality only;;negative;;;
Still the fucking notch.;;;;;negative
Get real Apple, tis is very bad;negative;;;;
Still sticking to a crappy age old screen resolution. What an upgrade Apple!;;;;;negative
