Reviews;Aspect
I'm skeptical about the future-proofing of this phone;phone
Disappointed, Nothing new in this phones;phones
This looks decent though, Just not enough to get me to switch;looks
Not even in octa core. What do we expect from this;
Ugly design, the iPhone 8 is better, this one is fat and weird.;
Nothing special about this phone, as always a lot of noise and blaba. Just the name you have to pay for.;phone
i think its a great new take on the design but i think it would have been better with at least the option of having the matte black or jet black colour;design
I love the design of that thing. Its perfect size, flat screen and rounded stainless steel sides should make for a great in hands feeling and probably user experience. Would be buying one instantly if it was priced competively.;design
An over priced junk has arrived again The iphone X . the touch id should have be there . for this price . 1150 bucks .;price
Ugly screen compare 2 samsung edge series screen;screen
no finger id. face id some low light condetion not work perfectly. bad move apple;face id, finger id
iPhone X's gesture controls is the single most underrated feature nobody is talking about except for Michael Fisher aka Mr. Mobile. It's webOS reincarnated. Swipe up to close apps and carousel to the next ones will feel awesome!;swipe gesture
This is INNOVATION! Super AMOLED & Wireless charging! OMG Best PHONE EVER!! I love you apple thank you so much for these breathtaking novelty. I admire such innovative company. God bless you apple. Peace;super amoled, wireless charging
one thing that i realize in iphone is nothing but price;price
Love the new iPhone X;iphone x
I love the classic iPhone design. More bling-bling under certain lighting conditions. The Apple logo on the back also looks much nicer with the white glass rear. You can barely recognize it on the darker one.;design
Very disappointed..;
Great specs!;specs
I would really love to own one soon.. :-);
processor is an important in mobile phones. especially for internet and game. iPhone processor is very fast and good performance.;processor, performance
It's so girly... but nice design :);design
Huge side bezels;side bezels
Too High and costly for its cost over features. Iphone X is not worth that amount, its just costly for the hype of the brand apple iphone thats all.;
The iphone x is gorgeuos;iphone x
So... they finally caught up in some 2014 android features and added a bigger screen. Innovation!;
no fingerprint..... hahahahaha;fingerprint
Its all perfect but the most disgusting part is at the top where the front cams are. Its really annoying especially when it comes to me because i have an OCD (symmetrical) i prefer the infinity display. And I think iPhone X is fragile and definitely i'm gonna freak out if I accidentally drop it. It's Costly right?;
It will fail because they don't have a fingerprint scanner and face unlock is inefficient and garbage.;fingerprint, face unlock
Maybe They aren't big innovators anymore But They still make great phones !;phones
This is the first Apple phone that caught my interest. Now I'll be saving some money for this phone :);phone
Only Face id just absurd.;face id
iPhone X is the best phone in the whole universe.;iphone x
it might not that ugly when u see it in front of you..as ppl who saw it in front of them, many of them say it is beautiful;
iPhone x very impressive in design and specifications. But tooo much expensive. the 256Gb one will cost more than C$1700 including tax in Canada. However i felt like there should've been a 128Gb instead of 64Gb.;design, specifications,
can't wait for this. omg going to be a long 2 months for me.;
ridiculously over priced!!!;
i like ios, and apple products, but this one is gross, its ok to pay a big price if its feature pack, but paying a big price just for a bezelless design? its gross, sorry apple, im not a sheep yet, waiting for next year again for some worthy phone to throw a $$$;design
Most advanced and best smartphone ever made. This is the phone of the future. Others are looking like they came out of the stone age compared to this. Face recognition is the first ever and can never be duplicated. Super Retina Display is also the most advanced screen tech ever made. Wireless charging is also the first on a smartphone.;smartphone, phone, face recognition, display, wireless charging
In my country Apple products are really overpriced so this phone will be super Xpensive;apple products
This phone looks interesting, its specs look very attractive, but it's not a device for small pockets and was never intended to be. I see there it's some kind of fashion to remove the middle button and extend the display. All right and fine, until we look at the display design, it looks like some kind of ass with those top display margins that show the status bar in the middle with the mic and camera.Again, it's expensive for what it brings.I say this especially by the display design and, of course, the 3.5 inch jack, that was never brought back.;phone, specs
Awesome as ever.;
The phone is good. But the pricing is worst...;phone, pricing
No Finger print sensor. No headphone jack. Eeewww.;finger print, headphone jack
Well, I think that this phone its really expensive;phone
Its not best smartphone;smartphone
this is worth to buy for me. i have the money to buy every apple product. its not hard to spend my money to buy apple products.;
Im still sceptical about the bezel. Hands on video shown that it is thicker than it seem. Or maybe it just the lighting. Does this really count as bezel less? The chassis is kinda fat too. Hmm. Hope they can improve the design next year. Just a little bit more. Seriously. Just a little tiny bit more improvement it can be perfect.;
I think face id is not a good idea for me. Because some people are very busy not aware of using or trying to look at with your phone while working or doing;
The best thing I like about this phone is the A11 Bionic Chipset. This is going to be miles ahead of all the other chipsets in the market. Really Apple, has kept itself ahead in the race by making sure that they own every technology that goes into making their phone. ;
My Dream Iphone!;
My only concern about the phone is that it looks ugly. In fact, all Apple's big phones aren't that good looking, but maybe the background of this phone makes it worse...;
Ridiculously overpriced and nothing new. except for the new built in apps which android users have been using since years. just a modified version of talking tom. $999, way tooo much for such a phone;
Why apple always late. Same old stuff with huge anouncement.;
Surely I will be going to buy this one. Price doesn't matter as easily available 12 months interest free installments here in Dubai on major credit cards.;
This just looks super ugly.;
why is everyone not happy with this phone? I love it!;
Sure, this phone isn't anything hugely special, but it's still a huge step in the right direction for Apple, which has been stagnant for years now.;
The processor is a gamble. On paper, it looks to be a huge leap on existing tech. But you're correct that it's had limited testing, can't wait to see the heat generation.;
A lot of people live the design. Personally, on the internet I think it looks nice enough, though if place it behind both the galaxy phones and the mi mix. In real life I might like it more, I didn't like how tall and thin the s8 was. Plenty of people will consider this the most beautiful phone - especially those with Samsung hate.;
Overall, I think the phone is nothing exciting, but it does compete with the best phones out there. Apples planned augmented reality future seems a bad choice to me, buy here's hoping they do something good with it. Hard to imagine anything not gimmicky, the tech has been around for ages without being useful. Hololens seems the way to go get;
Man design is ugly. Phone looks like someone bite top of the screen like is apple on back. To me it seems a worm slowly eating apple and soon or later this company will be sold or bancrupt. Its just asking too much,;
They had a retina display which is good;
cant wait to buy it;
The Iphone X will be a complete waste of money;
Nice;
Well I am an Apple lover . so many mouths and so many opinions . For me there is no one on earth who can challenge apple security system. APPLE is the best . Apple X is the best so far. waiting and dying to buy one for me.;
Thanks Apple;
wonderfull;
8 plus has best cam in the market, this sounds very good for iPhone X!;
The best smartphone camera we’ve ever tested;
Easily the ugliest phone ever made.;
Regarding the screen, i believe it is the first of its kind in which the screen reaches all 4 corners evenly (even though it has a cutout up top) That is innovation in itself.;
top of the screen is totally ugly;
cool!;
I've actually done research on the back camera sensor size on the iPhone 10... and believe it is going to be a 1/2 inch camera sensor size... which is bigger than Samsung camera sensors and will put it ahead of Samsung cameras;
These phones are so expensive....you can hardly eat when you finish purchase it.;
Undoubtedly iPhone X is a revolution in Apple history.It has to be added that Apple had no alternatives but joining a group of hi ends with new norms and criteria in smartdevice history;
what i concern is not its camera, i know the camera is good overall;
With Super AMOLED display, I think the battery life could last little longer compared to LCD displays. And with powerful A11 chip, multitasking could be more smoother.;
The A11 chip is super fast, even par with latest MacBook pro performance. this phone will be fresh for next 5 years (I derived this from my iPhone 5S bought 4 years back but still working great specifically super fast with latest iOS 11);
Iphone x is awful phone;
battery capacity..uhrmm..no thanks. im not just heavy user, im HARDCORE user.;
A great phone for whom who can afford it. I really don`t recommend just because of the price tag.;
iPhone X is a superb piece of tech. Love the product. Bought mine from ajio website. had some cool offers on products;
Screen is amazing. Face detection works almost flawlessly for me. Battery is a non issue. Works all day. Love the new gestures. No home button is perfect. Sound from the Lightning Earbuds is the best from Apple by FAR!!! Anything negative is more than likely bashing IMHO.;
Its contains lots of awesome features especially Face ID... It’s just too cool.. I used to face finger print detection problem while driving car.... typing password while driving is just too risky.. which now don’t bother me anymore;
My only complaint is the price, Samsung and iPhone are amazing phones. one is good for this, the other one is good for that. stop the hate. but I do have to say that Apple is marking the price way to high.;
love this phone. Swipe up Home gesture is awesome.;
Very nice phone from Apple;
Apple Created the best display I ever seen in mobile phones .;
Best screen i ever seen in any device. It's so perfect that it doesn't even feel like a screen. It looks so natural and real.;
Battery life not great, as expected from iPhone,;
it has a better Camera from another phone in this world now.;
Battery is not as good;
best phone I've ever used. swipe up for home button and face id works flawless even in the dark. phone is a must buy for iphone users.;
Hi Guys, Just to let you'll know that i have bought the iPhone X and its just amazing;
FaceID works like a charm. I dont miss the home button much. I kind of like the notch as it divides the battery from the others notification to the left.;
I have the X and I'm not impressed.;
In January, my iPhone X is going on eBay for sale. It's boring, the phone is several years behind its competitors technology. It's a phone for young people who don't know what the competition has. Yawn.;
Really fast and fluid phone, which is to be expected at this price range, but still, the notch is in some people's opinion ugly. But people can always find something wrong with any product.;
Battery life with this is very good;
it does have that notch,.it's not ideal.;
Yeah,.there is no doubt the IPhone X is not the best IPhone to as regards to its capabilities ;
Great phone and Face Id works well....!!;
Apple x not as well as we thought. Home button is the breath of apple apple 8 is good but older design is not acceptable. Basically apple 8 should have apple x design. Then it would be surely popular at every where. iOS 11 firmware should be improve with give option for direct call in third party dialer. It's very annoying ask confirmation call. Sometimes it's not good. Hope apple will update it sure.;
Camera is almost real professional!!!;
Faceid is fast and the screen... omg the screen!!!!! Perfect!;
Best smartphone i ever had.;
nice phone;
"I like apple but what preventing me from spending so much money for this phone is the ""battery"". What would you do with a nice phone that would just last for half a day. I'm a heavy user";
Apple always put a iPhone with almost same features as all smartphone have but overpriced its phone ....we can also get Ai . Face recognition in other phones in about 15000 then why waste on iPhone;
Iphone X, failed design, overpriced, not so bezel-less, so sorry Apple, this time is the Era of Android phones.;
"it's way too pricely for the ""old technology"" in it";
the amoled is gorgeous, the camera is great, you dont even notice the notch (and it is small) so stop complaining people, apple have made a really nice gorgeous phone.;
i bought my iPhone X on 4th of November and after using it for nearly 6 days, i came to this conclusion that this iPhone is not worth device by Apple;
feeling bad to say the notch make it even worse than original iPhone.;
Glad to hear in new feature of iPhone X specially in benchmark. ;
I admit I was a bit worried about losing Touch ID but amazingly FaceID seems to work at least as well as TouchID;
Speed is well ... wow ... just like the iPad Pro 10.5. Cameras ... amazing for such a small device;
I think the problem of iphone is the battery life if they can make it like 3600 Mah or 4000 it will be great;
The notch itself is stylish and looks cool. Apple tried to make something completely bezel-less;
this is the first phone ever made that i must say-its perfect! Best phone of all times! Only next Iphone x can or could be better-no one else!;
my new iPhone x just arrived,, smooth ,, fast and lovely,, no lag what so ever,, can use it with one hand;
Hardware is unbelievable. Now if only they can improve iOS 11, it would truly be the greatest device ever.;
I've had it since Saturday and I have to say, this is the perfect smartphone on every single level.;
Everything seems perfect with the iPhone X except the notch at top of the screen. If Apple can remove the notch, i will score them 100%.;
I just received mine today! I love it NO regrets....no wonder why T3 magazine rated this the premium of premium of phones!;
Best Display. Fastest Processor. Fastest storage. Best update support. Best customer service. Best phone in the world.;
The iPhone X is superior in many ways do a deep comparison;
The A11 is a six-core, remember that adding dual-core to iPhone is not like adding dual-core laptops and requires a very accurate processor design. The dual-core processor features Performance and high-performance quad-core processors to greatly increase the speed and performance of this mobile device. Conclusion This powerful processor, high performance, and the ability of this smartphone to use various applications.;
It's a stunning device in so many ways.;
using Face ID, it feels like future in your hand. And shows how far these smartphones have gone.;
When you hold iPhone X in your hand with that beautiful almost edge to edge screen;
Man I agree its expensive,It has the best design ;
Getting those issues is around same than winning lottery. Haven't had Any issues and the performance is perfect and with 120hz touch input this thing is supersmooth.;
I lost my hope with apple every year i am waiting for something new , but the phone doesn't change same thing with old features andriod has ahead months and years before.;
Iphone x is just a piece of junk;
iphones are better than any other phone especially Samsung, the end;
Apple always slow to get the technology and is always late.;
My iPhone X battery is not work good as other phones while running 4g net I think upgrade for long battery life;
I love this phone;
Everything which is expensive, definitely has nuisance value, do be it!;
We somehow defend iPhone X only by good, better, best having no lingual expression of overall performance, but lip service.;
"I know the phone are not just specs in a paper. But they are performances an measures inside that are reflected in those ""papers"". So stop saying stupid things and get over it,";
I am very disappointed with apple this year, I bought an iphone x 256 gb on the 16th of this month and the Face ID cannot register my face or any other face and the selfie portrait mode is also not working. I contacted apple support team but they canÂ’ Fix it even though they run a diagnostic on my phone. The apple told me that nothing is wrong with the hardware.;
What a phone!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! hoping to have this one day.;
So much for iPhone X being the King of Speed.;
I used it, great phone but needs more features! Not worth the money imho!;
Just take a look at the back of the iPad mini and them look at the iPhone x front . Design will be clearly understandable .x is very beautiful but it's not worth the price .;
Best phone so far! Been using it since it first cane out here in new zealand! And dont get me wrong i have been iphone user since iphone4 started. So yes its iphone all the way;
I have become a fan from iPhone 6S Plus onwards and on 14th got the iPhone X. In one word, its an experience. The mother of all phones, really. Its insanely fast and smooth. Multitasking and flips over tasks or apps very good. ;
Battery is absolutely insane, so far.;
battery is good;
best camera;
screen is the best;
speaker is so good;
face id works so good;
the notch sometimes makes me feel bad;
Greetings from very happy iPhone X user, not single time i thought the price after i got one, best phone by far i ever had, this phone screams perfection.;
Apple is just an overpriced tech with no real Upgrades;
Phone is good but not worth at this price;
iPhone is just an overpriced no Innovation phone.;
For the same price as Iphone X and fast charging block. plus wireless charging doc and wireless headphones.;
i just love iphone x. I think, it is the best phone in this modern world;
To costly! D:;
Wow such an amazing phone, Apple is such a great company, they are making great devices,;
Very very expensive.....;
Too expensive for that money, you must have very unhappy person to buy this phone to compensate your happiness. It may be good, but for wannabe-s.;
The Apple phones are getting worse and dearer oh my android phones have all this and much more as I've realised recently;
Same Staff Every Year. Apple Is Boring;
Poor Battery;
Too Expensive;
Apple you disappointed US!!!!;
Finally 4g Ram;
The important differences between XS and X is number of sim card. Lol;
why apple iphone battery so poor......... samsung galaxy s8, s9 series better at its price point, quality;
why so costly.....nothing special in iphones;
iphone price is acceptable, but iphone very shameful and also no special feature.......and heavy bulky weight;
Yes, as the flagship phone, iphone speaker is not that good;
"It is a great camera. So what do you want? New cameras just fo teh sake of ""new""?";
Thousands employees working full year and using multi-million dollars to come conclusions, no design changes. Money wasting company.;
Front camera used 7 mp f2.2?Come on Apple, atleast using 12 mp f1.5 to 1.8!!!;
$1000... has a shitty 4gb of ram;
battery size too low how.;
There's only 2 things I like most about Iphone.. 1st is the IOS.. I have no doubt about it.. 2nd is the Video.. the image stabilizer.. Other than that,just the same;
APPLE IPHONE IS JUST TOOOOOO COSTY...;
Beauty of iphone is it's os..iOS. ios is optimized heavily for it's hardware. When an App goes to background, ios compresses app (say it occupies 300MB in foreground) by so much and it can compress even to 10MB, if it is required;
Iphone is way overpriced compared to huawei/nokia/others...;
You are right. Apple is beast. I have tried android phones (flagship ones) but iphones still so so strong in everything.;
very poor battery backup;
very small battery in contrast with its display . it needs twice battery charge in a day in normal use.;
apple is good in everything except battery endurance;
"what is iphone???
MONEY SUCKER";
Same ugly phone, higher price...;
Screen is great, very bright and sharp. Video playback is near perfect. Body size is just right. ;
The phone comes a very cohesive package in terms of hardware and software, design and function. Not perfect but no phone is.;
Overall, the XS won't disappoint but it's not cheap.;
Haven't tested out the camera much but a couple shots turned out nice.;
i don't know why They always give poor battery capacity which don't go more than 90+ endurance.;
Sorry iPhone your notch is just annoying. Can you just make your phone without a notch?;
The iPhone XS has a markedly improved dual camera, delivering better photos ;
Best Phone i have ever used;
IPhone xs very very very...... Poor battery.;
The beauty of iPhone's battery life. Its steady, its reliable, no matter what you load on it. No matter the condition. Connect to Carplay Wireless, add a Apple Watch, and you still have almost the same battery life you take out of the box.;
I am here to say why iPhones still superior to any Androids phones and worth its cost.;
It is a very crisp looking screen display.;
I am on the 12.1 IOS update on 10/30/2018. So far I am delighted with my phone. Lots of settings and easy to navigate. The display is sharp and true in color.;
I wish it had Dolby Atmos for music and other multimedia. The audio on the supplied ear pods is excellent. The speakerphone and ringers (and alerts) are louder than my previous phones.;
I would recommend the Xs to my friends;
arguably the best phone on the market, but god that price....;
It Is An iPhooone,With A Nice Camerrra!!!.;
This phone has best camera in this price segment;
Battery backup is very disappointing for this display size ,with moderate use i have to charge it in the evening;
The camera is the best in the market, there is no denying. Everybody on YouTube can tell you the truth. SmartHDR truly is a breakthrough in smartphone photography.;
this are better cameras according to popular opinion;
Camera is very good, compared to 6S. I did not have any chance to compare this against any other phones except my old LG G4 and HTC One M7.;
Looks premium and beautiful.;
Screen is Brilliant. (With True Tone On and with True Tone Off);
Battery as per my usage - Photos, Whatsapp, Viber, Phone Call, Youtube and some other stuff last for 1.5 to 2.5 days depending on the day to day usage. But I am very happy with it.;
Notch - may be it is obtrusive for some, but it is not obstructing me. Got used to it.;
very pricey;
phone nowadays is getting slow when it comes to innovations. Globally speaking, top smartphones are samsung and huawei. It shows to the market that iphone is not the usual iphone anymore.;
same price as motorcycle...pffttttt..;
nice phone but I just cant come to spend $1625AUD on this phone...;
IPhone XS is the best phone in the world. Use the phone first then we'll talk or you can go to istore & play around the phone;
If you have the money get it, best phone on the market, don't believe...me get it play with it then come back and comment.;
Perfect for grip and superb performance and looks apple did an amazing job again;
its battery life is terribly dissapointing.;
iPhone Xs is complete crap.;
This is the first iPhone ive ever bought, performance is great and UI is nice and fluid.;
This phone is just not worth the price;
The Battery is better than the previous model I have used for a year (iPhone 7 ) I only charge it while I am sleeping using the wireless charger.;
The phone is really fast comparing with other old models.;
The camera is fantastic and the beauty mode in selfie is not weird as I found on Samsung or Huawei.;
The camera is very disappointing in the dark. The pictures turn out very blurry. It also seems a strange filter is placed on all my photos.;
Awesome camera and functionalities. Cheers to Apple for their amazing innovation;
This is the best ever phone I've had so far.;
right now iOS does not have a system wide dark theme. but it is rumored that apple will implement dark theme in next release of ios 13 this year.;
The best phone on the world!;
iPhones are only good for their design that's it;
Apple is ahead of every Android smartphone with a two years ahead unbeatable chipset ( A12 bionic) better and faster updates, better software optimizations and better quality with stereo speakers, amazing display and high quality materials ;
"what this ""bezelless"" bulshet all the time, look at that thick bezels around the display and 83% display ratio";
This evaluation aims to examine how the iPhone XS is believed to be the best iPhone so far. ;
The iPhone XS is the worst of the new iPhones;
Oh my!!!!, im really shocked.. what happen to apple designer? Did you see all 2019 smartphones?. Really really ugly 2017 design. What a horrible notch;notch
Worst design by apple;design
This seems to be the ugliest Apple product for decades.;apple
Designers could have spent some more time for back camera pattern or design;back camera, design
very old and outdated design;design
apple has set the notch trend back in 2017 but it looks like the 2019 notch design a bit outdated;notch
It has a 720 p display with a powerful processor;display, processor
I thought the screen resolution would improve to full HD. Still a ripped off with that high price;screen resolution, price
this phone is a joke LCD screen no fullhd resolution 4GB ram;screen, ram
Seriously, I can't see any feature that will trick or make people to buy or upgrade to this.;feature
the camera looks ugly;camera
Better CPU, more RAM, more battery and another camera;cpu, ram, battery, camera
No fhd screen,no audio Jack, very small battery, terrible wake up Apple.;screen, audio jack, battery
Low resolution display, huge cutout, mediocre camera, no telephoto camera, no 802.11ax WiFi, no 3,5 mm jack, no USB type C port, no NFC etc etc;display, cutout, camera, wifi, jack, type c, nfc
iPhones can still hold their price;price
so no 5G? will prefer to stay on older device...;5g
No fingerprint;fingerprint
bad display (LCD), low resolution;display
no 3,5mm jack and ancient USB 2.0.;jack
What they should've done was use a bigger battery. This phone is massive yet they decided to put a miniscule battery in it;battery
The resolution is fine.;resolution
you know the specs are trash. Apple is brand quality and brand quality only;specs
Still the fucking notch.;notch
Get real Apple, tis is very bad;apple
Still sticking to a crappy age old screen resolution. What an upgrade Apple!;screen resolution
still no full HD display in 2019 lmao how are they getting away with that without getting shit on by everyone;display
Omg even xiaomi mi 9t is better then this;
Design is too worst;design
The specs are quite literally the best on the market;specs
The GPU was already insanely better than any other GPU on the market and they improved it even more. Apples chips are 2 generations ahead of other chips, look up benchmarks.;gpu
It also has the same cameras as the 11 apart from the tele, which will probably be the best camera on the market.;cameras
Insane price for only $700. This model will be a top seller no doubt.;price
It's a shame that we have to bought phone with LCD display in 2019;display
Yeah. It's still a trash spec;spec
Still no 5G.... Wow Apple you can only do this;5g
Faster more energy efficient processor;processor
Bigger battery. Faster charging. Battery would last 4-5 hours more now;battery, charging
Finally, an ultrawide camera. Better camera. Better video. Better selfie camera;camera, video
Design is very poor;design
Again and agian 720p screen;screen
apple seems lost its steam;
cheep look in back side;back side
The main problems are that iPhone 11 screen is not OLED and you cannot watch 1080p YouTube videos on it;screen
At least Apple is smart enough to increase battery size on the 11;battery size
a bit smaller notch. a little bit.;notch
2 big issues when price is that high, LCD screen and not Full HD display. Its freaking 2019/2020. Is it too much to ask from Apple.;price, screen, display
its 699 us dollars so idk what your talking about;
Iphone 11 should normally come with a FullView screen display instead of an oudated notch. and battery capacity should be at least 4000 mAh.;display, battery
There is no doubt app system and overall user experience in better on apple;app system, user experience
Well, dual camera, improved IP68, and the A13 are simply awesome;camera, ip68, a13
Another dealbreaker is the screen resolution, you can't even do social media at full quality,;screen resolution
Seriously? 350ppi display for that price?;display
The screen resolution is low for the price;screen resolution
Camera design is less terrible than other two models, It still got a notch there. Wobbles on table :/;camera design, notch
Great specs, except of it's golden price;specs, price, fm radio
This would have been a really good phone if it were OLED screen;oled screen
if you look at the camera it looks terrible;camera
iPhone 11 has 4GB RAM;ram
Apple should make some phone in low budgets.cause iPhone 6 is not available much.We need a budget phone.;
i feel better user experience in the IOS than android;user experience
Camera quality is good and does a really good job ;camera
iPhones are not expensive;
battery is a joke.;battery
i''m an Apple user myself and I must said that it has been a great experience overall;experience
Samsung is really good at photography and note 10 plus is similar price;photography, price
iphone with ios is always good for long term;iphone
Why these horrid notches;notches
I liked the camera;camera
Iphone 11 pro and max are too expensive for me.;
Camera is great. All round great phone.;camera, phone
The price is so so so high;price
Upgrade iphone 11 this morning. Very happy with it;iphone 11
iOS is simply magical.;ios
This phone only has a 828x1792 resolution LCD display;lcd display
Better battery, camera ( 1 extra ultra wide) and processor.;battery, camera, processor
these are not so bad just overpriced;
it works nice, price is fine as you are high income, done deal.;
it get hot when using and the battery life is not that good.;battery life
the battery life, while not the top of its class, is enough to get you through the day, especially as of late;battery life
Iphone has high end specs;specs
it has very nice display;display
phone already last damn long;
These back cameras looks so ugly;cameras
overall just a better phone.;
better screen, about the same performance, bigger screen. better cameras;screen, performance, screen, cameras
an overall better camera system;camera
The battery life is good for a phone with 3000+ mAh capacity, ;battery life
The performance is really good;performance
the camera is another story, the image quality looks so bad on the ultra-wide angle shot, it is like oil painting when zoom in to see the details;camera
screen resolution is definitely a factor but overall i am satisfied;screen resolution
i was impressed with performance and battery life;performance, battery life
camera is average;camera
display is good.;display
not oled screen;screen
THE BEST device I have ever owned.;device
The display is bright, vivid and colors are great;display
The camera on this thing is amazing as well.;camera
The battery life is better;battery life
The speakers are better too, loud, clear and rich;speakers
would highly recommend it to all people looking for a flagship that would not break their bank;device
I am extremely happy with this device;
You're getting probably the best battery life in probably any smartphone right now.;battery life
The iPhone 11 has the fastest performance in the world;iphone
great battery life;battery life
amazing cameras;cameras
The only dated parts of the phone are the display and the notch, neither of which are awful.;display, notch
The faster processor, better cameras, better battery life, extra gigabyte of RAM, and other things make this a good buy.;processor, cameras, battery life, ram
You'll also be giving up the telephoto camera for an ultra-wide angle camera;camera
good battery life, good camera and regular updates.;battery life, camera
720P screen is outdated;screen
Almost 200g why so heavy;
